Input_Phase;Observed_Phase;Target_Output;Observed_Output;Output_State;Fidelity;Dimension
-0.740941663582498,-0.434281539064113,1.047197551196598,-1.417622243395963,0.381910120786505,-1.472161505899622,-0.509601715155365,0.486465260698327;"-0.645867099698418;-0.737936235809292;0.823366087489291;0.071484186304647;0.589773946798328;-0.606237384093002;0.173634568413789;0.474467353049590";"0.602886569046452;0.144959013522035;0.042597912141806;0.045610593428151;0.045470468717158;0.039865480277447;0.041056540320886;0.037553422546066";"0.491954022988506;0.114559386973180;0.057215836526181;0.043678160919540;0.065197956577267;0.048148148148148;0.070881226053640;0.108365261813538";"0.7144;0.0254;0.0149;0.0041;0.0186;0.0237;0.0445;0.1544";0.845232224972271;8
0.381910120786505,-1.472161505899622,0.886103867995090,0.740592327578924,-0.509601715155365,1.417622243395963,0.806156698380753,0.753741039728837;"0.119060851738733;-1.753477187730481;0.912703963763599;1.247353712347184;-0.827385207504517;0.537207904774394;1.733141249407515;-0.385025694354502";"0.594649459870949;0.142391067933009;0.043065322989922;0.044515333865004;0.050025375190314;0.042775320814906;0.044152831146234;0.038425288189661";"0.414067640479010;0.155612580602711;0.089617054875642;0.058626135017766;0.083958415580998;0.083761021186998;0.051454138702461;0.062903013554415";"0.6644;0.0526;0.0701;0.0093;0.0436;0.1083;0.0042;0.0475";0.815083139689462;8
0.381910120786505,-1.472161505899622,0.886103867995090,0.740592327578924,-0.509601715155365,1.417622243395963,0.806156698380753,0.753741039728837;"0.098101474132494;-1.393899973175407;1.315100611293475;-0.064341101587657;-1.127099328130664;1.523215396493714;-0.529763952542753;-0.076439645716018";"0.606148257769407;0.131171801426073;0.043185793084892;0.041571370913494;0.057581057446522;0.041907708865868;0.042311314408718;0.036122696085026";"0.452252014264958;0.120195482763175;0.072975828820499;0.089354114383833;0.069211464799894;0.088099326376965;0.054880464931977;0.053031303658698";"0.7287;0.0034;0.0527;0.0591;0.0551;0.0550;0.0248;0.0212";0.853647415062302;8
0.753741039728837,0.486465260698327,-0.174532925199433,-0.434281539064113,0.381910120786505,-1.472161505899622,0.886103867995090,0.740592327578924;"0.807692518070999;1.142121302736427;0.057557715287494;0.399862418588196;-0.631864129102729;-0.333002196351050;2.024473549383623;1.844720986376988";"0.594948416933476;0.131768054073284;0.044112415510494;0.043898968338670;0.058057630736393;0.044254713625044;0.044254713625044;0.038705087157595";"0.413223644119439;0.149299207800122;0.084034125533211;0.069957343083486;0.096404631322364;0.063863497867154;0.066544789762340;0.056672760511883";"0.6219; 0.1286;0.0664;0.0516;0.0418;0.0100;0.0322;0.0475";0.788583714766176;8
0.753741039728837,0.486465260698327,-0.174532925199433,-0.434281539064113,0.381910120786505,-1.472161505899622,0.886103867995090,0.740592327578924;"-0.409581218119002;1.161980367142881;-0.805754556739692;-0.477434880740666;0.538725313714649;-1.458143981961918;0.837387790122778;2.079362115130520";"0.605153782211139;0.116073452731807;0.047608252097030;0.053275901156200;0.047457114788786;0.043074132849694;0.046474722285196;0.040882641880148";"0.459551719695994;0.132487440422517;0.045407703207523;0.046631456910988;0.070076001545794;0.077289707587273;0.096676542573747;0.071879428056164";"0.6010;0.1384;0.0029;0.0152;0.0647;0.0506;0.0489;0.0783";0.775217512227069;8
2.34568,-1.5794,0.174532925199433,-0.434281539064113,1.047197551196598,-1.417622243395963,-0.740941663582498,-0.434281539064113;"-2.660633056840352;-1.557820894208632;-0.136417320264572;0.288553887183158;0.841322721123890;-1.209868449107472;-0.700167111028399;0.464160745246312";"0.589868804664723;0.137900874635569;0.045772594752187;0.050000000000000;0.048104956268222;0.042128279883382;0.046793002915452;0.039431486880466";"0.430557421087978;0.109536601746138;0.047884486232371;0.107857622565480;0.056883814640698;0.081867024848892;0.104969778374748;0.060443250503694";"0.7475;0.0222;0.0007;0.1039;0.0095;0.0318;0.0413;0.0431";0.864562532095607;8
2.34568,-1.5794,0.174532925199433,-0.434281539064113,1.047197551196598,-1.417622243395963,-0.740941663582498,-0.434281539064113;"1.476131727923780;-0.719243082155851;-1.116628652239935;-0.574739937138492;0.706132778324351;-1.391811696959145;-1.448808831349221;-0.741438371859623";"0.603003125424650;0.140236445169181;0.042804728903384;0.046745481723060;0.044775105313222;0.041038184535942;0.044435385242560;0.036961543688001";"0.440377502869532;0.193533988011733;0.097245249330443;0.058155847468435;0.051268970794541;0.061663053181992;0.049802321132509;0.047953067210815";"0.6919;0.1602;0.0483;0.0191;0.0190;0.0452;0.0038;0.0125";0.831804300065020;8
-1.417622243395963,0.806156698380753,-0.472348917995759,0.185300970484239,-1.065669149793010,0.975014013714594,0.694812043257723,0.753741039728837;"-1.196217749310806;0.488099601312427;-0.680333117345089;-0.855216675769135;-0.169202319995393;1.119558581474308;1.238032916567462;1.163122647548476";"0.602200825309491;0.140096286107290;0.042984869325997;0.047661623108666;0.045048143053645;0.039546079779917;0.044773039889959;0.037689133425034";"0.443301449798472;0.162245082115142;0.072429765986886;0.049088612163869;0.116344823437406;0.063586596883836;0.054442639716056;0.038561029898334";"0.7290;0.0592;0.0164;0.0112;0.1409;0.0163;0.0202;0.0068";0.853841619146093;8
1.417622243395963,-0.806156698380753,0.472348917995759,-0.185300970484239,1.065669149793010,-0.975014013714594,-0.694812043257723,-0.753741039728837;"1.085620748990905;-0.648978494003856;0.829685577567746;0.458740510772675;1.781252379153536;1.081576467080115;-0.500656455047483;-0.627298216682525";"0.598470363288719;0.139012817789108;0.043977055449331;0.046738899511366;0.047376248141066;0.041781743502585;0.044401954535798;0.038240917782027";"0.453348986653485;0.131426099851705;0.070254572417202;0.057031636183885;0.081376668314385;0.071552150271873;0.082056351952546;0.052953534354918";"0.6585;0.0391;0.0348;0.0217;0.0492;0.0246;0.1410;0.0312";0.811468084911909;8
"1.417622243395963;-0.806156698380753;0.472348917995759;-0.185300970484239;1.065669149793010;-0.975014013714594;-0.694812043257723;-0.753741039728837";"-0.753538187396265;-1.764519417412726;-0.582299544271935;-1.275534824130227;-0.815599528555444;-1.528107162022369;-1.040012985740413;-0.575082409982529";"0.612725559823175;0.115588086093195;0.044858323066889;0.049206464236539;0.048336836002609;0.043843756793971;0.046452641495761;0.038988332487861";"0.439770330442934;0.113370049214905;0.097961096789313;0.101652214670729;0.094914459807828;0.061870166393251;0.055952659948442;0.034509022732599";"0.5811;0.09683;0.1071;0.08161;0.0839;0.0143;0.03489;2.5198e-04";0.762288104546739;8
